class,height,width,red,green,blue,hue,saturation,value
buoy_red,2.5,2.0,144.34782608695653,15.4,15.4,0.0,224.5782608695652,144.34782608695653
surmark950400,1.0,0.3,53.90677966101695,83.11205273069679,67.74952919020716,74.62523540489642,93.74105461393597,83.11205273069679
blue_totem,1.24,0.25,6.3999999999999995,6.3999999999999995,102.17272727272727,115.63636363636363,239.44545454545454,102.17272727272727
green_totem,1.24,0.25,13.053149606299213,130.25,11.438976377952756,55.803149606299215,232.71259842519686,130.25
black_totem,1.24,0.25,17.75551470588235,17.200367647058822,17.200367647058822,0.0,26.125,17.75551470588235
surmark950410,1.24,0.25,207.96121416526137,76.65008431703204,70.27655986509275,1.1593591905564924,168.5202360876897,207.96121416526137
red_totem,1.24,0.25,138.43492063492064,22.625396825396827,22.625396825396827,0.0,220.97142857142856,138.43492063492064
buoy_red,2.5,2.0,138.43492063492064,22.625396825396827,22.625396825396827,0.0,220.97142857142856,138.43492063492064
red_totem,1.24,0.25,114.27486187845304,23.84806629834254,23.84806629834254,0.0,211.7403314917127,114.27486187845304
buoy_red,2.5,2.0,114.27486187845304,23.84806629834254,23.84806629834254,0.0,211.7403314917127,114.27486187845304
surmark46104,1.24,0.25,126.24793388429752,126.2415059687787,126.2415059687787,0.12396694214876033,0.010560146923783287,126.24931129476583
surmark46104,1.24,0.25,124.49199663016006,124.4844144903117,124.4844144903117,0.0,0.008424599831508003,124.49199663016006
red_totem,1.24,0.25,102.953216374269,16.43859649122807,16.43859649122807,0.0,216.30409356725144,102.953216374269
buoy_red,2.5,2.0,102.953216374269,16.43859649122807,16.43859649122807,0.0,216.30409356725144,102.953216374269
polyform_a7,1.0,1.0,1.4916096954630205,0.7507768800497203,0.7507768800497203,0.0,41.94344313238036,1.4916096954630205
polyform_a5,0.68,0.68,1.4916096954630205,0.7507768800497203,0.7507768800497203,0.0,41.94344313238036,1.4916096954630205
polyform_a3,0.43,0.43,1.4916096954630205,0.7507768800497203,0.7507768800497203,0.0,41.94344313238036,1.4916096954630205
black_totem,1.24,0.25,16.609534619750285,15.383654937570942,15.383654937570942,0.0,92.67990919409762,16.609534619750285
black_totem,1.24,0.25,31.903312444046552,31.58281110116383,31.58281110116383,0.08057296329453895,79.45568487018801,31.90420769919427
red_totem,1.24,0.25,117.47611464968153,28.106687898089174,28.106687898089174,0.0,205.27707006369428,117.47611464968153
buoy_red,2.5,2.0,117.47611464968153,28.106687898089174,28.106687898089174,0.0,205.27707006369428,117.47611464968153
black_totem,1.24,0.25,14.418502202643174,14.37444933920705,14.37444933920705,0.0,5.638766519823789,14.418502202643174
surmark950410,1.24,0.25,128.6281618887015,47.75548060708263,43.885328836424954,1.072512647554806,165.2841483979764,128.6281618887015
surmark46104,1.24,0.25,118.48340425531914,118.48085106382979,118.48085106382979,0.07659574468085106,0.00425531914893617,118.48425531914893
yellow_totem,1.24,0.25,126.26291079812206,126.26291079812206,23.253521126760564,26.807511737089204,223.40062597809077,126.26291079812206
red_totem,1.24,0.25,121.31292517006803,17.702380952380953,17.702380952380953,0.0,214.6326530612245,121.31292517006803
buoy_red,2.5,2.0,121.31292517006803,17.702380952380953,17.702380952380953,0.0,214.6326530612245,121.31292517006803
surmark950400,1.0,0.3,46.30596234309623,76.14069037656903,61.99529288702929,76.3373430962343,104.10198744769873,76.14069037656903
yellow_totem,1.24,0.25,105.07142857142857,105.07142857142857,0.4107142857142857,30.0,254.05357142857142,105.07142857142857
surmark46104,1.24,0.25,165.79122807017544,165.78684210526316,165.78684210526316,0.07894736842105263,0.0061403508771929825,165.7921052631579
red_totem,1.24,0.25,109.55,19.006896551724136,19.006896551724136,0.0,221.78793103448277,109.55
buoy_red,2.5,2.0,109.55,19.006896551724136,19.006896551724136,0.0,221.78793103448277,109.55
surmark950410,1.24,0.25,72.99168053244593,29.371048252911816,27.259567387687188,1.0008319467554077,159.19051580698834,72.99168053244593
red_totem,1.24,0.25,138.64779874213838,26.811320754716984,26.811320754716984,0.0,212.50628930817612,138.64779874213838
buoy_red,2.5,2.0,138.64779874213838,26.811320754716984,26.811320754716984,0.0,212.50628930817612,138.64779874213838
red_totem,1.24,0.25,111.34923339011925,22.75979557069847,22.75979557069847,0.15332197614991483,217.37989778534924,111.35093696763202
buoy_red,2.5,2.0,111.34923339011925,22.75979557069847,22.75979557069847,0.15332197614991483,217.37989778534924,111.35093696763202
surmark46104,1.24,0.25,116.75038520801233,116.75115562403698,116.75115562403698,0.13867488443759632,0.0030816640986132513,116.75192604006163
green_totem,1.24,0.25,11.74059003051882,116.03153611393692,10.80061037639878,55.876907426246184,233.67853509664292,116.03255340793488
yellow_totem,1.24,0.25,178.40030674846625,178.39417177914112,22.302147239263803,26.042944785276074,218.47085889570553,178.40030674846625
surmark950410,1.24,0.25,193.4686617730096,71.54037267080744,65.60135516657256,1.160361377752682,168.40767927724448,193.4686617730096
red_totem,1.24,0.25,130.94347826086957,21.682608695652174,21.682608695652174,0.0,223.52173913043478,130.94347826086957
buoy_red,2.5,2.0,130.94347826086957,21.682608695652174,21.682608695652174,0.0,223.52173913043478,130.94347826086957
green_totem,1.24,0.25,12.702344546381244,112.76554536187565,11.06422018348624,54.85117227319063,228.4230377166157,112.76554536187565
blue_totem,1.24,0.25,17.99099099099099,15.56981981981982,121.17567567567568,107.12387387387388,219.1216216216216,121.17567567567568
black_totem,1.24,0.25,15.535211267605634,15.450704225352114,15.450704225352114,0.0,21.549295774647888,15.535211267605634
black_totem,1.24,0.25,28.992125984251967,28.916338582677167,28.916338582677167,0.08858267716535433,17.078740157480315,28.99311023622047
green_totem,1.24,0.25,19.058152793614596,115.73546180159636,17.191562143671607,51.574686431014825,214.74572405929305,115.73546180159636
surmark46104,1.24,0.25,106.51845342706503,106.51318101933215,106.51318101933215,0.0,0.01054481546572935,106.51845342706503
black_totem,1.24,0.25,29.694247438928294,28.596532702915685,28.596532702915685,0.0,86.83293932230103,29.694247438928294
surmark46104,1.24,0.25,164.21875,164.21328125000002,164.21328125000002,0.0,0.0054687500000000005,164.21875
red_totem,1.24,0.25,185.7935943060498,22.8576512455516,22.8576512455516,0.0,220.26334519572953,185.7935943060498
buoy_red,2.5,2.0,185.7935943060498,22.8576512455516,22.8576512455516,0.0,220.26334519572953,185.7935943060498
